,0
59766,数字信号处理（E）
59760,数据库原理及安全
59762,安全开发模型及安全编程
59761,计算机通信网络（A）
59763,算法（计算）复杂度分析
59070,数学史
59765,计算机通信网络（A）
56898,第 27 期大学生创新实践计划
